Rb.;"Naziv tijela";OIB;Adresa;"Br. pošte";Grad;Telefon;Fax;Www;E-mail;"Ime i prezime službenika";"Tel. službenika";"E-mail. službenika";Osnivač;"Pravni status";Djelatnost;"Zadnja izmjena"
2201;"Javna vatrogasna postrojba Grada Varaždina";31995833807;"Trenkova 44";42000;Varaždin;"(+385 42) 230 345";"(+385 42) 232 528";www.jvp-varazdin.hr;javna-vatrogasna-postrojba@vz.t-com.hr;"Ivica Labaš";"(+385 42) 230 345";javna-vatrogasna-postrojba@vz.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";
2202;"Javna vatrogasna postrojba Grada Vinkovaca";13944251197;"Trg bana Josipa Šokčevića 14";32100;Vinkovci;"(+385 98) 978 640";"(+385 32) 338 106";;jvp.vinkovci@gmail.com;"Vesna Karlić";"(+385 98) 978 640";jvp.vinkovci@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2021-01-07 13:58:46"
2203;"Javna vatrogasna postrojba Grada Virovitice";72139518512;"Matije Gupca 63";33000;Virovitica;"(+385 33) 721 270";"(+385 33) 721 029";www.jvp-virovitica.hr;juvp-vtc@vt.t-com.hr;"Anto Tutić";"(+385 33) 721 270";juvp-vtc@vt.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2018-01-30 08:36:37"
2204;"Javna vatrogasna postrojba Grada Vodica";29569594157;"Magistrala 93";22211;Vodice;"(+385 22) 441 324";"(+385 22) 441 324";www.jvp-vodice.hr;jvp.vodice@gmail.com;"Goran Mijat";"(+385 91) 3331 368";jvp.vodice@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2022-04-14 10:50:11"
2205;"Javna vatrogasna postrojba Grada Zagreba";92366589656;"Savska cesta 1/III";10000;Zagreb;"(+385 1) 4896 100";"(+385 1) 4896 176";www.vatrogasci.zagreb.hr;jvp@vatrogasci-zagreb.hr;"Blaženka Divković";"(+385 1) 4896 194";blazenka.divkovic@vatrogasci-zagreb.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2022-01-27 13:33:24"
2206;"Javna vatrogasna postrojba Grada Zaprešića";60922185955;"Zelengaj 15";10290;Zaprešić;"(+385 1) 3310 071";"(+385 1) 3315 068";www.vatrogasci-zapresic.hr;jvp.zapresic@vatrogasci-zapresic.hr;"Damir Čičko";"(+385 1) 3310 071; (+385 1) 3315 067";zapovjednik@vatrogasci-zapresic.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2019-01-22 10:34:17"
2207;"Javna vatrogasna postrojba Ilok";33450852078;"Ivana Gorana Kovačića 2";32236;Ilok;"(+385 32) 596 011";"(+385 32) 596 011";;javna.vatrogasna.postrojba.ilok@vu.t-com.hr;"Dario Bošnjak";"(+385 32) 596 118";jvpilok@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2018-02-14 14:18:24"
2208;"Javna vatrogasna postrojba Konavle";40703803016;"Gruda 136";20215;Gruda;"(+385 20) 791 093";"(+385 20) 791 323";www.opcinakonavle.hr;jvp.konavle@hotmail.com;"Đurđica Đurić";"(+385 20) 791 093";jvp.konavle@hotmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";
2209;"Javna vatrogasna postrojba Labin";78778917195;"Dubrova 84";52220;Labin;"(+385 52) 851 657";"(+385 52) 851 655";www.jvp-labin.hr;jvp.labin@jvp-labin.hr;"Vesna Bošković";"(+385 52) 851 657";jvp.labin@jvp-labin.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2017-02-02 08:16:43"
2210;"Javna vatrogasna postrojba Metković";66165873172;"Mostarska 10/I";20350;Metković;"(+385 20) 686 713";"(+385 20) 686 693";www.jvp-metkovic.hr;javnametkovic@gmail.com;"Dario Vladimir";"(+385 91) 6333 666";dario.vladimir@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2021-11-29 10:46:11"
2211;"Javna vatrogasna postrojba Mljet";11190680804;"Zabrežje b.b.";20225;"Babino Polje";"(+385 20) 745 275";"(+385 20) 745 047";;jvpmljet93@net.hr;"Mario Dabelić";"(+385 98) 9823 445";jvpmljet93@net.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";
2212;"Javna vatrogasna postrojba Našice";49974852103;"Braće Radić 188";31500;Našice;"(+385 31) 611 088";"(+385 75) 801 208";www.jvp-nasice.hr;jvp-nasice@jvp-nasice.hr;"Danijel Matković";"(+385 31) 611 088";jvp-nasice@jvp-nasice.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2019-09-04 13:57:48"
2213;"Javna vatrogasna postrojba Nova Gradiška";04400977827;"Maksimilijana Benkovića 11";35400;"Nova Gradiška";"(+385 35) 364 579";"(+385 35) 364 577";www.jvpng.hr;jvp.novagradiska@gmail.com;"Mirela Kumić";"(+385 35) 364 579";jvp.novagradiska3@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2018-01-12 08:18:16"
2214;"Javna vatrogasna postrojba Ogulin";07951789223;"Bernardina Frankopana 18";47300;Ogulin;"(+385 47) 531 093";"(+385 47) 531 093";;jvpogulin@gmail.com;"Milan Stipetić";"(+385 91) 4793 260";jvpogulin@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2021-01-26 12:54:12"
2215;"Javna vatrogasna postrojba Opatija";77008559622;"Svetog Florijana 6";51410;Opatija;"(+385 51) 271 800";"(+385 51) 271 214";www.vatrogasci-opatija.hr;mail@vatrogasci-opatija.hr;"Maja Walter-Vengust";"(+385 51) 271 816";administracija@vatrogasci-opatija.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2017-11-23 15:50:42"
2216;"Javna vatrogasna postrojba Pag";03335989356;"Braće Fabijanića 2";23250;Pag;"(+385 23) 611 315";;www.jvp-pag.hr;jvp.gradpag@gmail.com;"Ana Fabijanić";"(+385 98) 9297 884";jvp.gradpag@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2021-08-10 12:52:32"
2217;"Javna vatrogasna postrojba Pazin";15860633652;"Vrtlišće 3/a";52000;Pazin;"(+385 52) 621 242";"(+385 52) 624 983";;jvppazin@gmail.com;"Đeni Baćac";"(+385 52) 624 983";jvppazin@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2022-01-13 08:27:35"
2218;"Javna vatrogasna postrojba Plitvička Jezera";28339712752;"Trg Svetog Jurja 4";53230;Korenica;"(+385 53) 776 053";"(+385 53) 756 293";www.vatrogasci-korenica.hr;info@vatrogasci-korenica.hr;"Ozren Sabljak";"(+385 53) 756 294";osabljak@vatrogasci-korenica.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2018-01-19 13:46:28"
2219;"Javna vatrogasna postrojba Požeško-Slavonske županije";35917895432;"Ivana Šveara 38";34310;Pleternica;"(+385 34) 251 063";"(+385 34) 251 063";;javnapsz@gmail.com;"Ivan Novosad";"(+385 91) 2740 517";javnapsz@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2017-01-25 09:20:11"
2220;"Javna vatrogasna postrojba Pula";48582664867;"Dobrilina 16";52100;Pula;"(+385 52) 535 800";"(+385 52) 215 638";www.jvp-pula.hr;jvp-pula@jvp-pula.hr;"Magda Ivančić";"(+385 52) 535 805";jvp-pula@jvp-pula.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";
2221;"Javna vatrogasna postrojba Rovinj";31602889123;"Istarska 13a";52210;Rovinj;"(+385 52) 811 003";"(+385 52) 840 958";www.vatrogasci-rovinj.hr;javna.vatrogasna.postrojba.rovinj@pu.t-com.hr;"Nikola Medelin";"(+385 52) 840 959; (+385 91) 1813 271";n.medelin@vatrogasci-rovinj.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2017-02-10 12:57:35"
2222;"Javna vatrogasna postrojba Umag";60697768115;"Zemljoradnička 10";52470;Umag;"(+385 52) 741 047";"(+385 52) 741 801";www.vatrogasciumag.com;jvp-umag@pu.htnet.hr;"Robert Hrvatin";"(+385 52) 741 047";jvp-umag@pu.htnet.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2018-01-11 14:00:07"
2223;"Javna vatrogasna postrojba Velika Gorica";84511723065;"Zagrebačka 3";10410;"Velika Gorica";"(+385 1) 6221 283";"(+385 1) 6251 455";www.jvp-velikagorica.hr;jvp.velika.gorica@zg.t-com.hr;"Snježana Jaki";"(+385 1) 6221 283";sjaki@jvp-velikagorica.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2020-02-06 10:34:32"
2224;"Javna vatrogasna postrojba Vukovar";26364514418;"Trg Matije Gupca 2";32000;Vukovar;"(+385 32) 413 331";"(+385 32) 416 922";;jvp.vukovar@vu.t-com.hr;"Dario Dejanović";"(+385 98) 1793 772";dario.dejanovic93@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2019-01-29 08:43:32"
2225;"Javna vatrogasna postrojba Zadar";36978292106;"Put Murvice 24";23000;Zadar;"(+385 23) 300 950";"(+385 23) 300 962";www.jvp-zadar.hr;jvp-zadar@jvp-zadar.hr;"Renata Kasap";"(+385 23) 300 959";pravna.sluzba@jvp-zadar.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Javni red i sigurnost";"2016-02-01 14:13:47"
2226;"Javna zdravstvena ustanova Imunološki zavod";51786203438;"Rockefellerova 2";10000;Zagreb;"(+385 1) 6414 100";"(+385 1) 6414 103";www.imz.hr;ured@imz.hr;"Željka Pelin; Ivan Jukić";"(+385 1) 6414 296; (+385 99) 4967 604";"zpelin@imz.hr; ijukic@imz.hr";"Republika Hrvatska";Ustanove;Zdravstvo;"2021-09-08 08:58:31"
2227;"Javno komunalno poduzeće Jasenovačka Voda d.o.o.";36845216047;"Trg kralja Petra Svačića 19";44324;Jasenovac;"(+385 44) 672 174";"(+385 44) 672 174";;adilas.jv@gmail.com;"Ilija Brajčić";"(+385 44) 672 043";adilas.jv@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-03-05 13:49:04"
2228;"Jelkom d.o.o. Vrboska";92345732468;"Vrboska 404";21463;Vrboska;"(+385 21) 761 227";"(+385 21) 718 950";www.jelkom.org;info@jelkom.org;"Vinko Mišković";"(+385 21) 761 227";vinko.miskovic@jelkom.org;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-02-05 11:11:33"
2229;"Jelsa Plus d.o.o.";77484175867;"Riva b.b.";21465;Jelsa;"(+385 21) 761 819";"(+385 21) 761 830";www.jelsa.hr;jelsa.plus@st.t-com.hr;"Vinko Milevčić";"(+385 21) 761 819";jelsa.plus@st.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-01-31 10:10:41"
2230;"Ježinac d.o.o. za obavljanje komunalnih djelatnosti";51893359623;"Uska Ulica 1";22240;Tisno;"(+385 22) 439 257";"(+385 22) 438 188";www.jezinac.hr;kontakt@jezinac.hr;"Gabrijela Jakovčev";"(+385 22) 439 257";kontakt@jezinac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-02-15 12:58:53"
2231;"Josipdolvet d.o.o. za veterinarske usluge";96947708948;"Karlovačka 44";47303;Josipdol;"(+385 47) 581 874";"(+385 47) 801 827";;josipdolvet@net.hr;"Neven Polić";"(+385 47) 581 874";josipdolvet@net.hr;"Fizička ili privatna pravna osoba";"Trgovačka društva";"Poljoprivreda, šumarstvo i veterinarstvo";"2021-12-07 10:13:03"
2232;"JP Komunalac d.o.o.";28622553096;"Unska 1";44430;"Hrvatska Kostajnica";"(+385 44) 525 500";"(+385 44) 525 515";www.jp-komunalac.hr;info@jp-komunalac.hr;"Tomislav Žličarić";"(+385 44) 525 512";tomislav.zlicaric@jp-komunalac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";
2233;"Junakovci d.o.o. za obavljanje komunalne djelatnosti";31942025395;"Kolodvorska 2";31402;Semeljci;"(+385 31) 856 311";"(+385 35) 856 197";www.semeljci.hr;junakovci@semeljci.hr;"Stankica Vuksanović";"(+385 99) 2197 717";junakovci@semeljci.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";
2234;"Kamenolomi Krašić d.o.o.";44961939971;"Medven Draga 18";10454;Krašić;"(+385 1) 6270 770";"(+385 1) 6270 769";portal.hrsume.hr/index.php/hr/kamenolomi-krai-doo;direkcija@hrsume.hr;;;;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";"Trgovačka društva";"Poljoprivreda, šumarstvo i veterinarstvo";"2016-10-21 14:54:57"
2235;"Kamičak d.o.o.";15016003634;"Luka 7";21230;Sinj;"(+385 21) 821 514";;;kamicak@kamicak.hr;"Maja Poljak";"(+385 21) 823 044";maja.poljak@kamicak.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2021-11-30 15:13:14"
2236;"Kapelakom d.o.o.";98109389097;"Bilogorska 90";43203;Kapela;"(+385 43) 884 916";"(+385 43) 884 265";www.opcina-kapela.hr/td-kapelakom.html;opcina-kapela@bj.t-com.hr;"Katarina Horvat";"(+385 43) 884 917";opcina-kapela@bj.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2021-12-21 08:31:28"
2237;"Karaula veterinarska ambulanta d.o.o.";87844605857;"Petra Štefanovića 6";43500;Daruvar;"(+385 43) 331 081";"(+385 43) 331 081";;karaula.veterinar@inet.hr;;;;"Fizička ili privatna pravna osoba";"Trgovačka društva";"Poljoprivreda, šumarstvo i veterinarstvo";"2017-12-28 14:35:04"
2238;"Karlovačka ljekarna Karlovac";36952113883;"Trg kralja Tomislava 19a";47000;Karlovac;"(+385 47) 614 879";"(+385 47) 614 710";;karlovacka.ljekarna.ravnatelj@ka.t-com.hr;"Blanka Črne";"(+385 47) 614 879";karlovacka.ljekarna.racunovodstvo@ka.t-com.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;Zdravstvo;"2016-10-14 15:35:04"
2239;"Karlovačka županija";65050537368;"Ambroza Vraniczanya 2/II";47000;Karlovac;"(+385 47) 666 103";"(+385 47) 666 268";www.kazup.hr;tajnistvo@kazup.hr;"Bruno Bajac";"(+385 47) 666 141";bruno.bajac@kazup.hr;"Republika Hrvatska";"Jedinica lokalne ili područne (regionalne) samouprave";"Javna uprava i politički sustav";"2019-01-28 08:31:04"
2240;"Kaštijun d.o.o. za gospodarenje otpadom";72690321172;"Premanturska cesta 215";52100;Pula;"(+385 52) 634 821";"(+385 52) 638 662";www.kastijun.hr;info@kastijun.hr;"Fabio Giacometti";"(+385 52) 634 821";info@kastijun.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2022-01-25 08:49:53"
2241;"Katolička gimnazija s pravom javnosti";23183109241;"Ulica pape Ivana Pavla II. 6";34000;Požega;"(+385 34) 312 093";"(+385 34) 312 070";www.katolicka-gimnazija.hr;ravnatelj@katolicka-gimnazija.hr;"Kristina Bratić";"(+385 34) 312 090";tajnistvo@katolicka-gimnazija.hr;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2018-02-08 08:46:34"
2242;"Katolička klasična gimnazija s pravom javnosti u Virovitici";18377801049;"Trg Ljudevita Patačića 3";33000;Virovitica;"(+385 33) 800 755";"(+385 33) 800 756";www.kkg-vtc.hr;ured@gimnazija-katolicka-klasicna-vt.skole.hr;"Iva Šimić";"(+385 33) 800 756";kkgvirovitica@gmail.com;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2022-02-04 12:46:39"
2243;"Katolička osnovna škola Josip Pavlišić";71128129163;"Omladinska 14";51000;Rijeka;"(+385 51) 569 150";"(+385 51) 569 151";www.kat-os-jpavlisic.hr;tajnistvo@kat-os-jpavlisic.hr;"Daniela Jelavić";"(+385 99) 3098 675";tajnistvo@kat-os-jpavlisic.hr;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2016-10-25 10:40:44"
2244;"Katolička osnovna škola Svete Uršule";10463818714;"Uršulinska 1";42000;Varaždin;"(+385 42) 200 437";"(+385 42) 200 920";www.os-svete-ursule.skole.hr;ured@os-svete-ursule.skole.hr;"Ankica Dumbović";"(+385 42) 200 437";ured@os-svete-ursule.skole.hr;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2016-11-10 10:03:37"
2245;"Katolička osnovna škola Šibenik";95528964928;"Velimira Škorpika 8";22000;Šibenik;"(+385 22) 330 723";"(+385 22) 330 704";www.os-katolicka-si.skole.hr;katolicka-os@hi.t-com.hr;"Jagoda Minga";"(+385 22) 330 723";katolicka-os@hi.t-com.hr;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2016-11-10 10:03:20"
2246;"Katolička osnovna škola u Novskoj";14623250169;"Ulica Tina Ujevića 2/C";44330;Novska;"(+385 44) 530 027";"(+385 44) 612 479";www.kos-novska.hr;ravnatelj@kos-novska.hr;"Krunoslav Juraković";"(+385 44) 530 027";ravnatelj@kos-novska.hr;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2022-01-24 14:57:50"
2247;"Katolička osnovna škola u Požegi";72589723788;"Ulica pape Ivana Pavla II. 6";34000;Požega;"(+385 34) 312 067";"(+385 34) 312 059";www.kospz.hr;kos@kospz.hr;"Frano Barišić";"(+385 34) 312 065";ravnateljkos2009@gmail.com;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2021-01-19 14:15:52"
2248;"Katolička osnovna škola u Virovitici";47488390414;"Trg Ljudevita Patačića 3";33000;Virovitica;"(+385 33) 554 225";"(+385 33) 554 227";www.os-katolicka-vt.skole.hr;ured@os-katolicka-vt.skole.hr;"Ana Galic Sambol";"(+385 33) 554 223";kos.vtc@gmail.com;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2022-01-24 15:05:08"
2249;"Katolički dječji vrtić Eden";28594183557;"Ervenička 1";32100;Vinkovci;"(+385 32) 363 720";"(+385 32) 363 720";;kdv.eden@gmail.com;"Martina Rajić";"(+385 98) 9461 884";kdv.eden@gmail.com;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2017-02-13 13:49:03"
2250;"Kazališno-koncertna dvorana Ivana Brlić Mažuranić";50360608281;"Trg Stjepana Miletića 12";35000;"Slavonski Brod";"(+385 35) 449 275";"(+385 35) 449 275";www.kkd-ibm.hr;kkd-ibm@kkd-ibm.hr;"Sanja Nuhanović";"(+385 35) 449 275";sanja.nuhanovic@kkd-ibm.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-02-01 12:35:15"
2251;"Kazalište lutaka Zadar";05876658632;"Sokolska 1";23000;Zadar;"(+385 23) 319 181";"(+385 23) 311 122";www.klz.hr;klz@klz.hr;"Maja Pehar";"(+385 23) 319 181";tajnistvo@klz.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2017-01-23 14:11:03"
2252;"Kazalište Virovitica";30553087113;"Trg Ljudevita Patačića 2";33000;Virovitica;"(+385 33) 721 330";"(+385 33) 721 330";www.kazalistevirovitica.hr;kazaliste.virovitica1234@gmail.com;"Ivana Čapo";"(+385 33) 721 330";ivanakazaliste@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-28 11:50:50"
2253;"Kemauček d.o.o. za komunalne poslove, trgovinu i usluge";35326885489;"Trg sv. Marije 26";42253;Bednja;"(+385 42) 796 309";"(+385 42) 771 698";www.bednja.hr;komunalno@bednja.hr;"Jasminka Grabar";"(+385 91) 1771 610";jasminka@bednja.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2020-09-17 12:05:36"
2254;"Kinematografi Dubrovnik";19518715082;"Cvijete Zuzorić 1/II";20000;Dubrovnik;"(+385 20) 638 640";;www.kinematografi.org;diana@kinematografi.org;"Nikša Konsuo";"(+385 20) 638 640";niksa@kinematografi.org;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2018-02-19 10:02:02"
2255;"Klasična gimnazija";14848609512;"Križanićeva 4a";10000;Zagreb;"(+385 1) 4611 718";"(+385 1) 4611 718";www.gimnazija-klasicna-zg.skole.hr;klasicna.gimnazija@skole.hr;"Biserka Grčević";"(+385 1) 4611 718";klasicna.gimnazija@skole.hr;"Republika Hrvatska";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2018-02-02 16:15:08"
2256;"Klasična gimnazija fra Marijana Lanosovića s pravom javnosti";81836350151;"Vukovarska 1/a";35000;"Slavonski Brod";"(+385 35) 408 084";"(+385 35) 443 811";www.gimanzija-framarijanalanosovica-sb.skole.hr;klasicna-gimnazija-sb@sb.t-com.hr;"Klaudio Milohanović";"(+385 99) 4220 100";gimnazija.framarijan.ravnatelj@gmail.com;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2018-01-15 11:13:06"
2257;"Klasična gimnazija Ivana Pavla II. s pravom javnosti, Zadar";90406197518;"Jerolima Vidulića 2";23000;Zadar;"(+385 23) 253 800";"(+385 23) 253 810";www.gimnazija-ivanapavla.hr;nkg@zd.htnet.hr;"Nebojša Gunjević";"(+385 23) 253 802";klasicna@zd.t-com.hr;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2016-11-10 10:02:02"
2258;"Klesarska škola Pučišća";19741597798;"Novo riva 4";21412;Pučišća;"(+385 21) 633 114";"(+385 21) 633 076";www.ss-klesarska-pucisca.skole.hr;klesarska-skola@st.t-com.hr;;;;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2021-01-29 13:21:35"
2259;"Klinička bolnica Dubrava";32206148371;"Avenija Gojka Šuška 6";10000;Zagreb;"(+385 1) 2902 444";"(+385 1) 2863 695";www.kbd.hr;ravnatelj@kbd.hr;"Željka Bilušić Perić";"(+385 1) 2903 414";sluzbenik.info@kbd.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2022-01-07 10:37:03"
2260;"Klinička bolnica Merkur";25883882856;"Zajčeva 19";10000;Zagreb;"(+385 1) 2431 390";"(+385 1) 2431 402";www.kb-merkur.hr;ravnateljstvo@kb-merkur.hr;"Zvonimira Novak";"(+385 1) 2253 337";zvonimira.novak@kb-merkur.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2018-01-12 10:14:34"
2261;"Klinička bolnica Sveti Duh";65119154523;"Sveti Duh 64";10000;Zagreb;"(+385 1) 3712 111";"(+385 1) 3712 308";www.kbsd.hr;kb@kbsd.hr;"Kristina Sičaja";"(+385 1) 3712 152";ksicaja@kbsd.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;Zdravstvo;"2020-02-05 14:29:20"
2262;"Klinički bolnički centar Osijek";89819375646;"Josipa Huttlera 4";31000;Osijek;"(+385 31) 511 511";"(+385 31) 512 221";www.kbo.hr;ravnateljstvo@kbo.hr;"Marina Kralj";"(+385 31) 511 158";kralj.marina@kbo.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2016-02-01 13:44:55"
2263;"Klinički bolnički centar Rijeka";40237608715;"Krešimirova 42";51000;Rijeka;"(+385 51) 658 111";"(+385 51) 658 502";www.kbc-rijeka.hr;ravnateljstvo@kbc-rijeka.hr;"Nikolina Rumora";"(+385 51) 658 840";sluzbenik-za-informiranje@kbc-rijeka.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2016-09-08 08:56:54"
2264;"Klinički bolnički centar Sestre milosrdnice";84924656517;"Vinogradska cesta 29";10000;Zagreb;"(+385 1) 3787 111";"(+385 1) 3769 067";www.kbcsm.hr;kbcsm@kbcsm.hr;"Ines Bolanča Ortolani";"(+385 1) 3787 030";sluzbenik@kbcsm.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2018-02-23 08:36:00"
2265;"Klinički bolnički centar Split";51401063283;"Spinčićeva 1";21000;Split;"(+385 21) 556 111";"(+385 21) 389 563";www.kbsplit.hr;office@kbsplit.hr;"Kristijana Lučić Mjeda";"(+385 21) 556 319";klucicmjeda@kbsplit.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2016-02-01 10:01:11"
2266;"Klinički bolnički centar Zagreb";46377257342;"Kišpatićeva 12";10000;Zagreb;"(+385 1) 2388 888";"(+385 1) 2379 922";www.kbc-zagreb.hr;kbc-zagreb@kbc-zagreb.hr;"Dunja Špoljarec";"(+385 1) 2902 996";kbc-zagreb@kbc-zagreb.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2022-02-18 08:35:56"
2267;"Klinika za dječje bolesti Zagreb";70641763756;"Klaićeva 16";10000;Zagreb;"(+385 1) 4600 111";"(+385 1) 4600 111";www.kdb.hr;kdb@kdb.hr;"Sandra Vajdovčić";"(+385 1) 4600 264";szinfo@kdb.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2020-11-27 12:56:01"
2268;"Klinika za infektivne bolesti Dr. Fran Mihaljević";47767714195;"Mirogojska 8";10000;Zagreb;"(+385 1) 2826 222; (+385 1) 2826 250";"(+385 1) 4678 235; (+385 1) 4678 244";www.bfm.hr;bfm@bfm.hr;"Robert Kotlar";"(+385 1) 2826 149";rkotlar@bfm.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2016-12-08 12:51:04"
2269;"Klinika za ortopediju Lovran";09777091543;"Šetalište maršala Tita 1";51415;Lovran;"(+385 51) 710 201";"(+385 51) 292 098";www.orto-lovran.hr;klinika.za.ortopediju.lovran@ri.t-com.hr;"Zoran Rožić";"(+385 51) 710 240";klinika.za.ortopediju.lovran@ri.t-com.hr;"Republika Hrvatska";Ustanove;Zdravstvo;"2017-12-28 13:43:42"
2270;"Klinika za psihijatriju Vrapče";86937855002;"Bolnička cesta 32";10000;Zagreb;"(+385 1) 3780 666";"(+385 1) 3483 660";www.bolnica-vrapce.hr;bolnica@bolnica-vrapce.hr;"Krešimir Kargačin";"(+385 1) 3780 637";kresimir.kargacin@bolnica-vrapce.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;Zdravstvo;"2020-01-31 14:40:52"
